Asking_Price,Street,City,State,Zip
"$739,000 ",10300 Jimenez St, Sylmar,CA,91342.0
"$875,000 ",5914 Jumilla Ave, Woodland Hills,CA,91367.0
"$959,000 ",21412 Dumetz Rd, Woodland Hills,CA,91364.0
"$845,000 ",17434 Mayall St, Northridge,CA,91325.0
"$545,000 ",331 W 10th St, San Pedro,CA,90731.0
"$2,695,000 ",2931 Mandeville Canyon Rd, Los Angeles,CA,90049.0
"$590,000 ",15240 1/2 Dickens St, Los Angeles,CA,91403.0
"$649,000 ",21821 Burbank Blvd UNIT 159, Los Angeles,CA,91367.0
"$649,900 ",15843 San Fernando Mission Blvd, Granada Hills,CA,91344.0
"$999,000 ",1430 S Beverly Glen Blvd APT 304, Los Angeles,CA,90024.0
"$1,499,900 ",6030 S Seabluff Dr APT 119, Playa Vista,CA,
"$605,000 ",11670 W Sunset Blvd APT 217, Los Angeles,CA,90049.0
"$965,000 ",5924 Crocker St, Los Angeles,CA,
"$569,000 ",738 S Los Angeles St APT 406, Los Angeles,CA,90014.0
"$699,000 ",4836 Balboa Ave UNIT A, Los Angeles,CA,91316.0
"$3,200,000 ",21610 Medina Estates Dr, Woodland Hills,CA,91364.0
"$1,695,000 ",6009 Oakdale Ave, Woodland Hills,CA,91367.0
"$395,000 ",19545 Sherman Way UNIT 70, Los Angeles,CA,91335.0
"$399,950 ",13986 Aztec St, Sylmar,CA,91342.0
"$200,000 ",4291 Scandia Way, Los Angeles,CA,90065.0
"$1,550,000 ",837 W 43rd Pl, Los Angeles,CA,90037.0
"$540,000 ",14050 Magnolia Blvd APT 107, Los Angeles,CA,91423.0
"$1,649,000 ",8933 David Ave, Los Angeles,CA,90034.0
"$1,079,000 ",2404 S Carolina St, San Pedro,CA,90731.0
"$750,000 ",2027 W 31st St, Los Angeles,CA,90018.0
"$389,000 ",308 S Cabrillo Ave APT 3, Los Angeles,CA,90731.0
"$919,000 ",6632 Burnet Ave, Van Nuys,CA,91405.0
"$1,473,836 ",20618 W Wood Rose Ct, Porter Ranch,CA,
"$1,795,000 ",24707 Wooded Vis, West Hills,CA,91307.0
"$949,950 ",16010 Wyandotte St, Van Nuys,CA,91406.0
"$610,000 ",7543 Donna Ave, Reseda,CA,91335.0
"$499,900 ",11027 Cohasset St, Sun Valley,CA,91352.0
"$684,000 ",19524 Mobile St, Reseda,CA,91335.0
"$5,025 ",4055 S Redwood Ave SUITE 458, Marina Del Rey,CA,90292.0
"$1,249,000 ",3970 Cherrywood Ave, Los Angeles,CA,90008.0
"$624,900 ",13755 Filmore St, Pacoima,CA,91331.0
"$1,588,433 ",20265 W Windsor Ln, Porter Ranch,CA,
"$939,000 ",7738 Quimby Ave, Canoga Park,CA,91304.0
"$2,249,000 ",8855 Skyline Dr, Los Angeles,CA,90046.0
"$465,000 ",335 S Biscayne Blvd APT 1601, Miami,FL,33131.0
"$220,000 ",1200 Brickell Bay Dr APT 2410, Miami,FL,33131.0
"$3,400,000 ",1331 Brickell Bay Dr APT 3611, Miami,FL,33131.0
"$428,000 ",5729 NW 5th Ct, Miami,FL,33127.0
"$190,000 ",2575 SW 27th Ave APT 212, Miami,FL,33133.0
"$420,000 ",3890 NW 2nd Ter, Miami,FL,33126.0
"$490,000 ",591 SW 45th Ave, Coral Gables,FL,33134.0
"$359,900 ",770 Claughton Island Dr APT 1003, Miami,FL,33131.0
